Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,15158913,2,"Sunday, June  3, 2012 23:22:42 UTC",35.4357,-120.0092,1.1,4.10,13,"Central California"
nc,71795881,3,"Sunday, June  3, 2012 23:21:01 UTC",37.4830,-118.8092,2.1,9.00,42,"Central California"
ak,10488073,2,"Sunday, June  3, 2012 23:19:52 UTC",57.7264,-154.6720,1.6,64.00, 7,"Kodiak Island region, Alaska"
us,b000a64r,9,"Sunday, June  3, 2012 23:19:19 UTC",35.7602,79.4556,4.3,65.10,35,"Kashmir-Xinjiang border region"
ci,15158897,2,"Sunday, June  3, 2012 23:19:00 UTC",35.0482,-117.6620,1.3,0.00,13,"Southern California"
ak,10485940,3,"Sunday, June  3, 2012 23:16:55 UTC",59.9399,-151.8950,1.4,72.50, 5,"Kenai Peninsula, Alaska"
ci,15158881,2,"Sunday, June  3, 2012 23:12:15 UTC",33.7052,-116.7603,1.6,18.60,145,"Southern California"
nc,71795871,2,"Sunday, June  3, 2012 23:09:22 UTC",38.8272,-122.8538,1.0,2.40,33,"Northern California"
ak,10485937,3,"Sunday, June  3, 2012 22:44:25 UTC",62.0121,-148.7748,1.2,40.40,19,"Central Alaska"
ak,10485934,3,"Sunday, June  3, 2012 22:42:27 UTC",65.1525,-149.0594,1.1,5.90,13,"northern Alaska"
ak,10485928,2,"Sunday, June  3, 2012 22:25:01 UTC",61.3675,-151.8063,1.9,91.20,39,"Southern Alaska"
nc,71795861,2,"Sunday, June  3, 2012 22:06:31 UTC",37.2567,-121.6393,1.0,6.20,12,"Northern California"
ak,10485926,2,"Sunday, June  3, 2012 21:43:20 UTC",54.4649,-161.5160,2.4,16.80, 8,"Alaska Peninsula"
ci,15158833,4,"Sunday, June  3, 2012 21:30:29 UTC",34.0392,-117.0830,1.1,6.80,107,"Greater Los Angeles area, California"
ci,15158825,4,"Sunday, June  3, 2012 21:25:08 UTC",33.9208,-117.1807,1.1,15.30,17,"Greater Los Angeles area, California"
ci,15158817,2,"Sunday, June  3, 2012 21:15:48 UTC",33.5070,-116.4478,1.3,9.40,18,"Southern California"
